# name,mass,star_name,ra,dec
HD 202206 c,"17,9",HD 202206,"318,7375","-20,7891667"
WASP-46 b,"2,101",WASP-46,"318,7375","-55,8716667"
BD+14 4559 b,"1,47",BD+14 4559,"318,4","14,6894444"
MASCARA-1 b,"3,7",MASCARA-1,"317,551551671","10,7388750191"
HU Aqr (AB) c,"5,9",HU Aqr (AB),"316,9916667","-5,2947222"
HATS-13 b,"0,543",HATS-13,"316,962500017","-26,096666679"
HD 200964 b,"1,85",HD 200964,"316,6666667","3,8030556"
HD 200964 c,"0,895",HD 200964,"316,6666667","3,8030556"
HAT-P-65 b,"0,527",HAT-P-65,"315,904166679","11,989444469"
WASP-90 b,"0,63",WASP-90,"315,5333","7,0567"
